Year/Month,Item,Item Code,Country,Export Weight(kg),Import Weight(kg),"Export Amount (USD1,000)","Import Amount (USD1,000)",Trade Balance
Sum,,,,"3,464,773","34,064,422","200,396","296,002","-95,606"
2019.01,Etc,6307909000,China,"35,843","2,667,232",815,"15,796","-14,982"
2019.02,Etc,6307909000,China,"26,500","1,140,536",642,"7,408","-6,766"
2019.03,Etc,6307909000,China,"39,893","1,875,946",884,"12,371","-11,486"
2019.04,Etc,6307909000,China,"51,831","2,438,899",650,"14,967","-14,318"
2019.05,Etc,6307909000,China,"23,968","2,138,528",932,"13,174","-12,243"
2019.06,Etc,6307909000,China,"22,582","2,328,388",334,"14,058","-13,724"
2019.07,Etc,6307909000,China,"39,773","3,011,883",345,"15,486","-15,140"
2019.08,Etc,6307909000,China,"33,820","2,171,351",503,"14,226","-13,723"
2019.09,Etc,6307909000,China,"19,947","2,047,596",377,"13,214","-12,837"
2019.10,Etc,6307909000,China,"20,738","2,392,929",510,"15,097","-14,586"
2019.11,Etc,6307909000,China,"35,102","2,227,975",552,"13,574","-13,022"
2019.12,Etc,6307909000,China,"28,838","2,413,151",601,"15,549","-14,947"
2020.01,Etc,6307909000,China,"1,352,306","2,517,862","60,190","15,381","44,809"
2020.02,Etc,6307909000,China,"1,706,604","929,165","132,237","5,398","126,839"
2020.03,Etc,6307909000,China,"27,028","3,762,981",824,"110,304","-109,480"