Region,Category,29-Feb,01-Mar,02-Mar,03-Mar,04-Mar,05-Mar,06-Mar,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,29-Mar,30-Mar,31-Mar,01-Apr,02-Apr,03-Apr,04-Apr,05-Apr,06-Apr,07-Apr,08-Apr,09-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr
대구경북,특별공급,102,0,69,71.5,70,0,32,0,,50,44.2,50.1,33.2,14.1,0,0,78.8,88.5,46.9,50,41.5,0,0,0,45.4,50.8,48.5,53.6,22.5,32.8,0,0,15.9,9.9,68.2,9.3,0,0,0,30.9,32.9,18.6,28.9,22.8,40,0,78.1,33.2,0,46.9
,약국,30,3.9,24.9,25,3.6,20,59,47.4,,58.9,59.1,60.2,60.1,59.9,84.3,14.3,60.1,56.6,57.5,57.7,57.6,51.1,17,16.9,46.2,46.2,47.4,46.2,46.2,57.8,16.5,16.5,58.3,57.8,58.3,58,57.9,60.1,15.1,60.2,60.2,59.7,59,58,54.3,13.9,56.2,61.7,69.4,53
,우체국,0,0,21,23,23,23,4.6,0,,4.1,4.1,3,3.1,3,0,0,3,3.4,3.8,3.9,3.5,0,0,0,3.2,3.4,3.3,3.3,3.5,2.4,1.3,0,2.9,3.7,3.7,3,2.6,0,0,2.6,2.9,2.7,2.4,2.4,2.9,1.2,2.4,2.1,0,0
,하나로마트,21,0,21,21,21,21,3.4,3.4,,3.3,3.4,3.3,3.4,3.5,5.3,0,3.4,3.4,2.5,2.4,2.2,2.5,1.1,1.1,2.7,2.6,2.4,2.7,2.6,0,0,1.3,3,2.7,2.4,2.4,2.4,2.9,1.3,2.8,2.3,2.5,2.3,2.2,0,0,2.2,5.6,5.4,0
,공영홈쇼핑,1,2,2,1.8,1.3,1.4,4.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,의료기관,0,0,30,86,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울경기인천,약국,208,31.4,117.2,47,107.7,72.2,279,223.4,,277.4,282.5,279.4,280.2,281.1,280.2,80,280.4,273.1,272.6,272.7,273.3,461.9,146.9,147.1,328.7,329.2,405.7,329.8,330,530.4,143.2,143.2,479.2,440.4,446.2,440.9,441.3,414.2,123.9,402.9,402.2,391.6,390.2,380.6,346,125.9,387.5,440.3,476,341.1
,우체국,0,0,5.6,6,6,6,1.2,0,,1.3,1.3,1.4,1.4,1.4,0,0,1.4,1.6,2.4,2.3,2.6,0,0,0,2.2,2.2,2.2,2,2.3,0,0,0,1.8,2.3,2.2,1.6,1.5,0,0,1.5,1.6,1.6,1,1.5,0.3,0.2,1.2,1.1,0,1
,하나로마트,0,112,16,16,45.7,15.8,0.3,0.4,,0.4,0.4,0.4,0.3,0.4,0.6,0,0.4,0.3,0.3,0.4,0.5,0.3,0.2,0.2,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0,0,0.3,0.6,0.8,0
,행복한백화점,10,10,5,10,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,명품마루(서울역),0,0,2,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,의료기관,0,0,0,0,0,0,45.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
그밖의지역,약국,23,27.4,94.6,108,130.2,53.3,233,180.7,,223.3,221.4,226.7,228.4,227.7,427.9,64.2,227.2,219.6,222.7,222.6,223,319.3,93.3,107,214.7,214.7,223.9,215.2,215.3,303.1,104.5,104.5,300.6,299,375.1,296.4,296.7,358,88.2,334.1,318.9,312.7,307.2,301.3,216.4,81.4,259.8,258,377.2,217.5
,우체국,0,0,38.4,41,41,41,8.2,0,,8.6,8.6,9.7,9.6,9.7,0,0,9.6,9,7.8,7.8,7.9,0,0,0,8.6,8.4,8.5,8.3,8,0,0,0,5.3,8,8.1,5.4,5.9,0,0,4.9,5.9,5.7,4.6,5.1,13.5,7.7,4.4,4.8,0,4.4
,하나로마트,34,0,33,33,33.3,33.2,15.3,15.2,,15.3,15.2,15.3,15.3,40.4,27.4,0,15.2,15.3,13,12.7,11.4,11.1,6.3,6.3,13,13.2,9.9,11.6,11,12,7.3,7.3,13,12.2,10.8,10.3,9.3,13.4,7.4,11.3,10.2,10.8,9.4,8.2,0,0,9.7,24.7,28.7,0
,아임쇼핑,4,4,4,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,명품마루(대전역),0,0,1,1.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,명품마루(광주역),0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,의료기관,0,0,0,0,0,0,39.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전국공통,공영홈쇼핑,9,13,18,20.2,14.7,16.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
의료기관,,6,0,85,60,44,31,0,0,,59.3,100,130.7,145.7,160.9,52.9,5,150.9,203,166.6,187,179.6,72.8,0,0,161.9,140.9,150.4,201.9,163.9,149.8,0,0,150.9,170.9,154.9,153.9,153,130.4,0,161.9,120.9,111.9,147.9,70.8,119.5,0,163.6,156.9,14,76.2
소형마스크공급,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,0,,,,0,,,,0,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0
기타,,0,,,,,,,,,,,,,,,,,,,,,,,,,38.9,142.9,96,28.3,,,172.8,80,12.1,137.2,14.3,43.9,0,0,0,14.5,22.7,27.6,171.4,0,0,53,0,0,144.3
합계,,448,203.7,587.7,576,541.5,334.2,726,470.5,,701.9,740.2,780.2,780.7,802.1,878.6,163.5,830.4,873.8,848.8,819.5,803.1,919,264.8,278.6,826.9,850.9,1045.4,971,833.9,1088.6,273,445.8,1111.2,1019.4,1267.4,995.8,1014.7,979.3,236.2,1013.4,972.8,940.8,980.8,1024.5,792.9,230.3,1018.4,989,971.5,884.4